2018/12/26 14:50:34.430 [D]  init logger succ
2018/12/26 15:02:07.334 [D]  init logger succ
2018/12/26 15:55:33.496 [D]  init logger succ
2018/12/26 15:55:34.249 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:55:34.249 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:17.583 [D]  init logger succ
2018/12/26 15:58:18.335 [E]  init kafka failed ,err=kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 15:58:18.335 [E]  init kafka failed,err= kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:12:11.814 [D]  init logger succ
2018/12/26 16:12:11.829 [D]  initKafka succ
2018/12/26 16:12:11.856 [D]  init ES succ
2018/12/26 16:20:14.387 [D]  partition:3,offset:26,Key:,Value:2018/12/26 01:26:44.325 [D]  resp from etcd:[key:"/oldboy/backend/logagent/config/192.168.76.139" create_revision:107 mod_revision:107 version:1 value:"[{\"logpath\":\"/home/alan8254402/go/src/LCS/logsForTest/logAgent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"../main/logs/nginx/err.log\",\"topic\":\"nginx_log_err2\"}]" ]
2018/12/26 16:20:14.393 [D]  partition:1,offset:36,Key:,Value:2018/12/26 01:26:45.080 [E]  init kafka produce failed ,err kafka: client has run out of available brokers to talk to (Is your cluster reachable?)
2018/12/26 16:20:14.410 [D]  partition:2,offset:45,Key:,Value:2018/12/26 01:12:10.987 [D]  connect etcd succ
2018/12/26 16:20:14.414 [D]  partition:0,offset:31,Key:,Value:2018/12/26 01:38:04.027 [D]  init etcd success
2018/12/26 16:20:14.429 [D]  partition:7,offset:27,Key:,Value:2018/12/26 01:38:04.024 [D]  connect etcd succ
2018/12/26 16:20:14.438 [D]  partition:6,offset:40,Key:,Value:2018/12/26 01:21:55.363 [D]  log config is [{/home/alan8254402/go/src/LCS/logsForTest/logAgent.log nginx_log} {../main/logs/nginx/err.log nginx_log_err2}]
2018/12/26 16:20:14.441 [D]  partition:4,offset:28,Key:,Value:2018/12/26 01:52:43.083 [D]  test for logger 19
2018/12/26 16:20:14.453 [D]  partition:5,offset:33,Key:,Value:2018/12/26 01:21:55.360 [D]  connect etcd succ
2018/12/26 16:20:14.466 [D]  partition:3,offset:27,Key:,Value:2018/12/26 01:36:30.510 [D]  connect etcd succ
2018/12/26 16:20:14.497 [D]  partition:1,offset:37,Key:,Value:2018/12/26 01:36:30.512 [D]  resp from etcd:[key:"/oldboy/backend/logagent/config/192.168.76.139" create_revision:107 mod_revision:107 version:1 value:"[{\"logpath\":\"/home/alan8254402/go/src/LCS/logsForTest/logAgent.log\",\"topic\":\"nginx_log\"},{\"logpath\":\"../main/logs/nginx/err.log\",\"topic\":\"nginx_log_err2\"}]" ]
